Category,English,Farsi,Phonetic
Animal,Animal,حیوانی,
Animal,dog,سگ,
Animal,cat,گربه,
Animal,fish,ماهی,
Animal,bird,پرنده,
Animal,cow,گاو,
Animal,pig,خوک,
Animal,mouse,موش,
Animal,horse,اسب,
Animal,wing,بال,
Transportation,Transportation,حمل,
Transportation,train,آموزش,
Transportation,plane,هواپیمای,
Transportation,car,ماشین,
Transportation,truck,کامیون,
Transportation,bicycle,دوچرخه,
Transportation,bus,اتوبوس,
Transportation,boat,قایق,
Transportation,ship,کشتی,
Transportation,tire,لاستیک,
Transportation,gasoline,بنزین,
Transportation,engine,موتور,
Transportation,ticket,بلیط,
Location,Location,محل,
Location,city,شهر,
Location,house,خانه,
Location,apartment,آپارتمان,
Location,street,خیابان,
Location,airport,فرودگاه,
Location,train station,ایستگاه قطار,
Location,bridge,پل,
Location,hotel,هتل,
Location,restaurant,رستوران,
Location,farm,مزرعه,
Location,court,دادگاه,
Location,school,مدرسه,
Location,office,دفتر,
Location,room,اتاق,
Location,town,شهر,
Location,university,دانشگاه,
Location,club,کلوپ,
Location,bar,نوار,
Location,park,پارک کردن,
Location,camp,اردوگاه,
Location,store,ذخیره,
Location,theater,تئاتر,
Location,library,کتابخانه,
Location,hospital,بیمارستان,
Location,church,کلیسا,
Location,market,بازار,
Location,country,کشور,
Location,building,ساختمان,
Location,ground,زمین,
Location,space,فضا,
Location,bank,بانک,
Clothing,Clothing,لباس,
Clothing,hat,کلاه,
Clothing,dress,لباس,
Clothing,suit,خواستگاری,
Clothing,skirt,دامن,
Clothing,shirt,پیراهن,
Clothing,T-shirt,تی شرت,
Clothing,pants,شلوار,
Clothing,shoes,کفش,
Clothing,pocket,جیب,
Clothing,coat,روکش,
Clothing,stain,لکه,
Color,Color,رنگ,
Color,red,قرمز,
Color,green,سبز,
Color,blue,رنگ آبی,
Color,yellow,زرد,
Color,brown,قهوه,
Color,pink,صورتی,
Color,orange,نارنجی,
Color,black,سیاه,
Color,white,سفید,
Color,gray,خاکستری,
People,People,مردم,
People,son,پسر,
People,daughter,دختر,
People,mother,مادر,
People,father,پدر,
People,parent,والدین,
People,baby,کودک,
People,man,مرد,
People,woman,زن,
People,brother,برادر,
People,sister,خواهر,
People,family,خانواده,
People,grandfather,پدر بزرگ,
People,grandmother,مادربزرگ,
People,husband,شوهر,
People,wife,زن,
People,king,پادشاه,
People,queen,ملکه,
People,president,رئیس جمهور,
People,neighbor,همسایه,
People,boy,پسر,
People,girl,دختر,
People,child,کودک,
People,adult,بزرگ,
People,human,انسانی,
People,friend,دوست,
People,victim,قربانی,
People,player,بازیکن,
People,fan,هوادار,
People,crowd,جمعیت,
People,person,شخص,
Job,Job,کار,
Job,teacher,معلم,
Job,student,دانشجوی,
Job,lawyer,وکیل دادگستری,
Job,doctor,پزشک,
Job,patient,صبور,
Job,waiter,پیشخدمت,
Job,secretary,منشی,
Job,priest,کشیش,
Job,police,پلیس,
Job,army,ارتش,
Job,soldier,سرباز,
Job,artist,هنرمند,
Job,author,نویسنده,
Job,manager,مدیر,
Job,reporter,خبرنگار,
Job,actor,بازیگر,
Society,Society,جامعه,
Society,religion,دین,
Society,heaven,بهشت,
Society,hell,جهنم,
Society,death,مرگ,
Society,medicine,دارو,
Society,money,پول,
Society,dollar,دلار,
Society,bill,لایحه,
Society,marriage,ازدواج,
Society,wedding,عروسی,
Society,team,تیم,
Society,relationship,رابطه,
Society,race,مسابقه,
Society,sex,رابطه جنسی,
Society,murder,قتل,
Society,prison,زندان,
Society,technology,فناوری,
Society,energy,انرژی,
Society,war,جنگ,
Society,peace,صلح,
Society,attack,حمله,
Society,election,انتخابات,
Society,magazine,مجله,
Society,newspaper,روزنامه,
Society,poison,مسموم کردن,
Society,gun,اسلحه,
Society,sport,ورزش,
Society,race,مسابقه,
Society,exercise,تمرین,
Society,ball,توپ,
Society,game,بازی,
Society,price,قیمت,
Society,contract,قرارداد,
Society,drug,دارو,
Society,sign,علامت,
Society,science,علم,
Society,God,خدا,
Art,Art,هنر,
Art,band,باند,
Art,song,ترانه,
Art,instrument,ابزار,
Art,music,موسیقی,
Art,movie,فیلم,
Art,art,هنر,
Beverages,Beverages,نوشابه,
Beverages,coffee,قهوه,
Beverages,tea,چای,
Beverages,wine,شراب,
Beverages,beer,آبجو,
Beverages,juice,آب میوه,
Beverages,water,اب,
Beverages,milk,شیر,
Food,Food,غذا,
Food,egg,تخم مرغ,
Food,cheese,پنیر,
Food,bread,نان,
Food,soup,سوپ,
Food,cake,کیک,
Food,chicken,مرغ,
Food,pork,گوشت خوک,
Food,beef,گوشت گاو,
Food,apple,سیب,
Food,banana,موز,
Food,orange,نارنجی,
Food,lemon,لیمو,
Food,corn,ذرت,
Food,rice,برنج,
Food,oil,روغن,
Food,seed,بذر,
Food,knife,چاقو,
Food,spoon,قاشق,
Food,fork,چنگال,
Food,plate,بشقاب,
Food,cup,فنجان,
Food,breakfast,صبحانه,
Food,lunch,ناهار,
Food,dinner,شام,
Food,sugar,قند,
Food,salt,نمک,
Food,bottle,بطری,
Home,Home,خانه,
Home,table,جدول,
Home,chair,صندلی,
Home,bed,بستر,
Home,dream,رویایی,
Home,window,پنجره,
Home,door,درب,
Home,bedroom,اتاق خواب,
Home,kitchen,آشپزخانه,
Home,bathroom,حمام,
Home,pencil,مداد,
Home,pen,قلم,
Home,photograph,عکس,
Home,soap,صابون,
Home,book,کتاب,
Home,page,صفحه,
Home,key,کلید,
Home,paint,رنگ,
Home,letter,نامه,
Home,note,یادداشت,
Home,wall,دیوار,
Home,paper,کاغذ,
Home,floor,کف,
Home,ceiling,سقف,
Home,roof,سقف,
Home,pool,استخر,
Home,lock,قفل,
Home,telephone,تلفن,
Home,garden,باغ,
Home,yard,حیاط,
Home,needle,سوزن,
Home,bag,کیسه,
Home,box,جعبه,
Home,gift,هدیه,
Home,card,کارت,
Home,ring,حلقه,
Home,tool,ابزار,
Electronics,Electronics,الکترونیک,
Electronics,clock,ساعت,
Electronics,lamp,لامپ,
Electronics,fan,هوادار,
Electronics,cell phone,تلفن همراه,
Electronics,network,شبکه,
Electronics,computer,کامپیوتر,
Electronics,program,برنامه,
Electronics,laptop,لپ تاپ,
Electronics,screen,صفحه نمایش,
Electronics,camera,دوربین,
Electronics,television,تلویزیون,
Electronics,radio,رادیو,
Body,Body,بدنه,
Body,head,سر,
Body,neck,گردن,
Body,face,صورت,
Body,beard,ریش,
Body,hair,مو,
Body,eye,چشم,
Body,mouth,دهان,
Body,lip,لب,
Body,nose,بینی,
Body,tooth,دندان,
Body,ear,گوش,
Body,tear,اشک,
Body,tongue,زبان,
Body,back,پشت,
Body,toe,انگشت پا,
Body,finger,انگشت,
Body,foot,پا,
Body,hand,دست,
Body,leg,پا,
Body,arm,بازو,
Body,shoulder,شانه,
Body,heart,قلب,
Body,blood,خون,
Body,brain,مغز,
Body,knee,زانو,
Body,sweat,عرق,
Body,disease,بیماری,
Body,bone,استخوان,
Body,voice,صدا,
Body,skin,پوست,
Nature,Nature,ذات,
Nature,sea,دریا,
Nature,ocean,اقیانوس,
Nature,river,رودخانه,
Nature,mountain,کوه,
Nature,rain,باران,
Nature,snow,برف,
Nature,tree,درخت,
Nature,sun,خورشید,
Nature,moon,ماه,
Nature,world,جهان,
Nature,earth,زمین,
Nature,forest,جنگل,
Nature,sky,آسمان,
Nature,plant,کاشت,
Nature,wind,باد,
Nature,soil,خاک,
Nature,flower,گل,
Nature,valley,دره,
Nature,root,ریشه,
Nature,lake,دریاچه,
Nature,star,ستاره,
Nature,grass,چمن,
Nature,leaf,برگ,
Nature,air,هوا,
Nature,sand,ماسه,
Nature,beach,ساحل,
Nature,wave,موج,
Nature,fire,آتش,
Nature,ice,یخ,
Nature,island,جزیره,
Nature,hill,تپه,
Nature,heat,گرم کردن,
Materials,Materials,مواد,
Materials,glass,شیشه,
Materials,metal,فلزی,
Materials,plastic,پلاستیکی,
Materials,wood,چوب,
Materials,stone,سنگ,
Materials,diamond,الماس,
Materials,clay,خاک رس,
Materials,dust,گرد و غبار,
Materials,gold,طلا,
Materials,copper,مس,
Materials,silver,نقره,
Measurements,Measurements,اندازه گیری,
Measurements,meter,اندازه,
Measurements,centimeter,سانتی متر,
Measurements,kilogram,کیلوگرم,
Measurements,inch,اینچ,
Measurements,foot,پا,
Measurements,pound,پندو,
Measurements,half,نصف,
Measurements,circle,دایره,
Measurements,square,مربع,
Measurements,temperature,درجه حرارت,
Measurements,date,تاریخ,
Measurements,weight,وزن,
Measurements,edge,لبه,
Measurements,corner,گوشه,
Misc Nouns,Misc Nouns,اسمهای متفرقه,
Misc Nouns,map,نقشه,
Misc Nouns,dot,نقطه,
Misc Nouns,consonant,صامت,
Misc Nouns,vowel,مصادره,
Misc Nouns,light,سبک,
Misc Nouns,sound,صدا,
Misc Nouns,yes,بله,
Misc Nouns,no,هیچ,
Misc Nouns,piece,قطعه,
Misc Nouns,pain,درد,
Misc Nouns,injury,جراحت,
Misc Nouns,hole,سوراخ,
Misc Nouns,image,تصویر,
Misc Nouns,pattern,الگو,
Directions,Directions,جهت,
Directions,top,بالا,
Directions,bottom,پایین,
Directions,side,طرف,
Directions,front,جلو,
Directions,back,پشت,
Directions,outside,خارج,
Directions,inside,درون,
Directions,up,بالا,
Directions,down,پایین,
Directions,left,چپ,
Directions,right,حق,
Directions,straight,مستقیم,
Directions,north,شمال,
Directions,south,جنوب,
Directions,east,شرق,
Directions,west,غرب,
Seasons,Seasons,فصل,
Seasons,summer,تابستان,
Seasons,spring,بهار,
Seasons,winter,زمستان,
Seasons,fall,سقوط,
Numbers,Numbers,شماره,
Numbers,1,1,
Numbers,2,2,
Numbers,3,3,
Numbers,4,4,
Numbers,5,5,
Numbers,6,6,
Numbers,7,7,
Numbers,8,8,
Numbers,9,9,
Numbers,10,10,
Numbers,11,11,
Numbers,12,12,
Numbers,13,13,
Numbers,14,14,
Numbers,15,15,
Numbers,16,16,
Numbers,17,17,
Numbers,18,18,
Numbers,19,19,
Numbers,20,20,
Numbers,21,21,
Numbers,22,22,
Numbers,30,30,
Numbers,31,31,
Numbers,32,32,
Numbers,40,40,
Numbers,41,41,
Numbers,42,42,
Numbers,50,50,
Numbers,51,51,
Numbers,52,52,
Numbers,60,60,
Numbers,61,61,
Numbers,62,62,
Numbers,70,70,
Numbers,71,71,
Numbers,72,72,
Numbers,80,80,
Numbers,81,81,
Numbers,82,82,
Numbers,90,90,
Numbers,91,91,
Numbers,92,92,
Numbers,100,100,
Numbers,101,101,
Numbers,102,102,
Numbers,110,110,
Numbers,111,111,
Numbers,1000,1000,
Numbers,1001,1001,
Numbers,10000,10000,
Numbers,100000,100000,
Numbers,million,میلیون,
Numbers,billion,میلیارد,
Numbers,1st,یک ام,
Numbers,2nd,2,
Numbers,3rd,3,
Numbers,4th,چهارم,
Numbers,5th,پنجم,
Months,Months,ماه,
Months,January,ژانویه,
Months,February,فوریه,
Months,March,راهپیمایی,
Months,April,ماه آوریل,
Months,May,ماه مه,
Months,June,ژوئن,
Months,July,ژوئیه,
Months,August,اوت,
Months,September,سپتامبر,
Months,October,اکتبر,
Months,November,ماه نوامبر,
Months,December,دسامبر,
Days of the Week,Days of the Week,روزهای هفته,
Days of the Week,Monday,دوشنبه,
Days of the Week,Tuesday,سه شنبه,
Days of the Week,Wednesday,چهارشنبه,
Days of the Week,Thursday,پنجشنبه,
Days of the Week,Friday,جمعه,
Days of the Week,Saturday,شنبه,
Days of the Week,Sunday,یکشنبه,
Time,Time,زمان,
Time,year,سال,
Time,month,ماه,
Time,week,هفته,
Time,day,روز,
Time,hour,یک ساعت,
Time,minute,دقیقه,
Time,second,دوم,
Time,morning,صبح,
Time,afternoon,بعد از ظهر,
Time,evening,شب,
Time,night,شب,
Verbs,Verbs,افعال,
Verbs,work,کار,
Verbs,play,بازی,
Verbs,walk,راه رفتن,
Verbs,run,دویدن,
Verbs,drive,محرک,
Verbs,fly,مگس,
Verbs,swim,شنا کردن,
Verbs,go,رفتن,
Verbs,stop,توقف,
Verbs,follow,دنبال کردن,
Verbs,think,فکر کردن,
Verbs,speak,سخن گفتن,
Verbs,eat,خوردن,
Verbs,drink,نوشیدن,
Verbs,kill,کشتن,
Verbs,die,مردن,
Verbs,smile,لبخند,
Verbs,laugh,خندیدن,
Verbs,cry,فریاده,
Verbs,buy,خرید کردن,
Verbs,pay,پرداختن,
Verbs,sell,فروش,
Verbs,shoot,شلیک کردن,
Verbs,learn,یاد گرفتن,
Verbs,jump,پرش,
Verbs,smell,بو,
Verbs,hear,شنیدن,
Verbs,listen,گوش دادن,
Verbs,taste,طعم,
Verbs,touch,لمس کردن,
Verbs,see,دیدن,
Verbs,watch,ساعت,
Verbs,kiss,بوسه,
Verbs,burn,سوختن,
Verbs,melt,ذوب کردن,
Verbs,dig,حفر کردن,
Verbs,explode,منفجر شدن,
Verbs,sit,نشستن,
Verbs,stand,ایستادن,
Verbs,love,عشق,
Verbs,pass,عبور,
Verbs,by,از طرف,
Verbs,cut,برش,
Verbs,fight,مبارزه,
Verbs,lie,دروغ گفتن,
Verbs,dance,رقص,
Verbs,sleep,خوابیدن,
Verbs,wake,بیداری,
Verbs,sing,خواندن,
Verbs,count,شمردن,
Verbs,marry,ازدواج کردن,
Verbs,pray,دعا کردن,
Verbs,win,پیروز شدن,
Verbs,lose,از دست دادن,
Verbs,mix,مخلوط کردن,
Verbs,bend,خم کردن,
Verbs,wash,شستشو,
Verbs,cook,پخت,
Verbs,open,باز,
Verbs,close,نزدیک,
Verbs,write,نوشتن,
Verbs,call,فراخوانی,
Verbs,turn,چرخش,
Verbs,build,ساخت,
Verbs,teach,تعلیم دادن,
Verbs,grow,رشد کردن,
Verbs,draw,ترسیم کردن,
Verbs,feed,تغذیه کردن,
Verbs,catch,گرفتن,
Verbs,throw,پرتاب,
Verbs,clean,تمیز,
Verbs,find,پیدا کردن,
Verbs,fall,سقوط,
Verbs,push,فشار,
Verbs,pull,کشیدن,
Verbs,carry,حمل کردن,
Verbs,break,شکستن,
Verbs,wear,پوشیدن,
Verbs,hang,معلق کردن,
Verbs,shake,لرزیدن,
Verbs,sign,علامت,
Verbs,beat,ضرب,
Verbs,lift,بلند کردن,
Adjectives,Adjectives,صفت,
Adjectives,long,طولانی,
Adjectives,short,کوتاه,
Adjectives,tall,بلند,
Adjectives,wide,گسترده,
Adjectives,big,بزرگ,
Adjectives,small,کوچک,
Adjectives,slow,آهسته,
Adjectives,fast,سریع,
Adjectives,hot,گرم,
Adjectives,cold,سرد,
Adjectives,warm,گرم,
Adjectives,cool,خنک کردن,
Adjectives,new,جدید,
Adjectives,old,قدیمی,
Adjectives,young,جوان,
Adjectives,good,خوب,
Adjectives,bad,بد,
Adjectives,wet,خیس,
Adjectives,dry,خشک,
Adjectives,sick,بیمار,
Adjectives,healthy,سالم,
Adjectives,loud,بلند,
Adjectives,quiet,ساکت,
Adjectives,happy,خوشحال,
Adjectives,sad,غمگین,
Adjectives,beautiful,زیبا,
Adjectives,ugly,زشت,
Adjectives,deaf,ناشنوا,
Adjectives,blind,کور,
Adjectives,nice,خوش,
Adjectives,mean,میانگین,
Adjectives,rich,ثروتمند,
Adjectives,poor,ضعیف,
Adjectives,thick,غلیظ,
Adjectives,thin,نازک,
Adjectives,expensive,گران,
Adjectives,cheap,ارزان,
Adjectives,flat,مسطح,
Adjectives,curved,خمیده,
Adjectives,male,مرد,
Adjectives,female,زن,
Adjectives,tight,تنگ,
Adjectives,loose,سست,
Adjectives,high,عالی,
Adjectives,low,کم,
Adjectives,soft,نرم,
Adjectives,hard,سخت,
Adjectives,deep,عمیق,
Adjectives,shallow,کم عمق,
Adjectives,clean,تمیز,
Adjectives,dirty,کثیف,
Adjectives,strong,قوی,
Adjectives,weak,ضعیف,
Adjectives,dead,مرده,
Adjectives,alive,زنده,
Adjectives,heavy,سنگین,
Adjectives,light,سبک,
Adjectives,dark,تاریک,
Adjectives,light,سبک,
Adjectives,nuclear,هسته ای,
Adjectives,famous,معروف,
Pronouns,Pronouns,ضمیر,
Pronouns,I,من,
Pronouns,you,شما,
Pronouns,he,او,
Pronouns,she,او,
Pronouns,it,من,
Pronouns,we,ما,
Pronouns,you,شما,
Pronouns,they,آنها,
