Category,English,Farsi,Phonetic,,,,
Animal,Animal,______,heyvan,,,,
Animal,dog,__,sag,,,,
Animal,cat,____,garbeh,,,,
Animal,fish,____,mahi,,,,
Animal,bird,_____,parandeh,,,,
Animal,cow,___,gav,,,,
Animal,pig,___,khok,,,,
Animal,mouse,___,moosh,,,,
Animal,horse,___,asb,,,,
Animal,wing,___,bal,,,,
Transportation,Transportation,___,hamel ve naghal,,,,
Transportation,train,_____,ghatar,,,,
Transportation,plane,________,npavapeyma,,,,
Transportation,car,_____,mashin,,,,
Transportation,truck,______,kamiyon,,,,
Transportation,bicycle,______,docharkheh,,,,
Transportation,bus,______,otobus,,,,
Transportation,boat,____,ghayegh,,,,
Transportation,ship,____,keshti,,,,
Transportation,tire,______,tayer,,,,
Transportation,gasoline,_____,benzin,,,,
Transportation,engine,_____,motor,,,,
Transportation,ticket,____,belit,,,,
Location,Location,___,makan,,,,
Location,city,___,shehar,,,,
Location,house,____,khaneh,,,,
Location,apartment,________,apartaman,,,,
Location,street,______,khyaban,,,,
Location,airport,_______,forodegah,,,,
Location,train station,_______ ____,istgah ghatar,,,,
Location,bridge,__,pel,,,,
Location,hotel,___,hotel,,,,
Location,restaurant,_______,rastoran,,,,
Location,farm,_____,mazraeh,,,,
Location,court,______,dadegah,,,,
Location,school,_____,madreseh,,,,
Location,office,____,daftar,,,,
Location,room,____,otagh,,,,
Location,town,___,shehar,,,,
Location,university,_______,daneshgah,,,,
Location,club,____,bashgah,,,,
Location,bar,____,meykhaneh,,,,
Location,park,____ ____,park,,,,
Location,camp,_______,ordogah,,,,
Location,store,_____,foroshgah,,,,
Location,theater,_____,teatar,,,,
Location,library,________,ketabakhaneh,,,,
Location,hospital,_________,bimarestan,,,,
Location,church,_____,kolisa,,,,
Location,market,_____,bazar,,,,
Location,country,____,keshor,,,,
Location,building,_______,sakhtaman,,,,
Location,ground,____,zamin,,,,
Location,space,___,fazaye bironi,,,,
Location,bank,____,bank,,,,
Clothing,Clothing,____,labas,,,,
Clothing,hat,____,kolah,,,,
Clothing,dress,____,labas,,,,
Clothing,suit,_________,kat ve shalvar,,,,
Clothing,skirt,____,daman,,,,
Clothing,shirt,______,piranpan,,,,
Clothing,T-shirt,__ ___,ti shrat,,,,
Clothing,pants,_____,shalvar,,,,
Clothing,shoes,___,kafsh,,,,
Clothing,pocket,___,shoes,,,,
Clothing,coat,____,jib,,,,
Clothing,stain,___,lakeh dar kardan,,,,
Color,Color,___,rang,,,,
Color,red,____,gharmaz,,,,
Color,green,___,sabz,,,,
Color,blue,___ ___,abi,,,,
Color,yellow,___,zard,,,,
Color,brown,____,ghehooh i,,,,
Color,pink,_____,sorti,,,,
Color,orange,______,naranji,,,,
Color,black,____,siah,,,,
Color,white,____,sefid,,,,
Color,gray,_______,khakstari,,,,
People,People,____,mardam,,,,
People,son,___,pasar,,,,
People,daughter,____,dokhtar,,,,
People,mother,____,madar,,,,
People,father,___,pedar,,,,
People,parent,______,pedar ve madar,,,,
People,baby,____,azizam,,,,
People,man,___,mard,,,,
People,woman,__,zan,,,,
People,brother,_____,baradar,,,,
People,sister,_____,khahar,,,,
People,family,_______,khanavadeh,,,,
People,grandfather,___ ____,pedarbozorg,,,,
People,grandmother,________,madarbozorg,,,,
People,husband,____,shvear,,,,
People,wife,__,npamsar,,,,
People,king,______,padeshah,,,,
People,queen,____,molkeh,,,,
People,president,____ _____,raeis jamehor,,,,
People,neighbor,______,npamsayeh,,,,
People,boy,___,pasar,,,,
People,girl,____,dokhtar,,,,
People,child,____,koodak,,,,
People,adult,____,balegh,,,,
People,human,______,ensan,,,,
People,friend,____,dost,,,,
People,victim,______,gharbani,,,,
People,player,______,bazikon,,,,
People,fan,______,fan,,,,
People,crowd,_____,jamiyat,,,,
People,person,___,shkhs,,,,
Job,Job,___,shghel,,,,
Job,teacher,____,malam,,,,
Job,student,_______,daneshju,,,,
Job,lawyer,____ ________,vakil,,,,
Job,doctor,____,dokter,,,,
Job,patient,____,bimar,,,,
Job,waiter,_______,pishkhodamat,,,,
Job,secretary,____,monashi,,,,
Job,priest,____,keshish,,,,
Job,police,____,pelis,,,,
Job,army,____,ertash,,,,
Job,soldier,_____,sarbaz,,,,
Job,artist,______,npannarmand,,,,
Job,author,_______,nevisandeh,,,,
Job,manager,____,madir,,,,
Job,reporter,_______,khbarnegar,,,,
Job,actor,______,bazigar,,,,
Society,Society,_____,jameh,,,,
Society,religion,___,din,,,,
Society,heaven,____,bacpehsht,,,,
Society,hell,____,johonam,,,,
Society,death,___,morg,,,,
Society,medicine,____,daro,,,,
Society,money,___,pol,,,,
Society,dollar,____,delar,,,,
Society,bill,_____,sort hasab,,,,
Society,marriage,______,ezdavaj,,,,
Society,wedding,_____,arusi,,,,
Society,team,___,tim,,,,
Society,relationship,_____,rabeteh,,,,
Society,race,______,nejad,,,,
Society,sex,_____ ____,jensit,,,,
Society,murder,___,ghtel,,,,
Society,prison,_____,zandan,,,,
Society,technology,______,taknology,,,,
Society,energy,_____,enrzhi,,,,
Society,war,___,jang,,,,
Society,peace,___,saleh,,,,
Society,attack,____,hamleh konand,,,,
Society,election,________,entekhabat,,,,
Society,magazine,____,majleh,,,,
Society,newspaper,_______,ruznameh,,,,
Society,poison,_____ ____,sam,,,,
Society,gun,_____,tafang,,,,
Society,sport,____,varzesh,,,,
Society,competition,______,mosabagheh,,,,
Society,exercise,_____,varzesh kardan,,,,
Society,ball,___,top,,,,
Society,game,____,bazi,,,,
Society,price,____,ghimet,,,,
Society,contract,_______,gharardad,,,,
Society,drug,____,daro,,,,
Society,sign,_____,alamet bozanid,,,,
Society,science,___,alam,,,,
Society,God,___,khoda,,,,
Art,Art,___,npannar,,,,
Art,band,____,band,,,,
Art,song,_____,ahang,,,,
Art,instrument,_____,saz,,,,
Art,music,______,mosighi,,,,
Art,movie,____,filam,,,,
Art,art,___,npannar,,,,
Beverages,Beverages,______,noshidani cpeha,,,,
Beverages,coffee,____,ghehooh,,,,
Beverages,tea,___,chaye,,,,
Beverages,wine,____,sharab,,,,
Beverages,beer,____,abjo,,,,
Beverages,juice,__ ____,abmiveh,,,,
Beverages,water,__,ab,,,,
Beverages,milk,___,shir,,,,
Food,Food,___,ghza,,,,
Food,egg,___ ___,takham morgh,,,,
Food,cheese,____,panir,,,,
Food,bread,___,nan,,,,
Food,soup,___,sup,,,,
Food,cake,___,kik,,,,
Food,chicken,___,morgh,,,,
Food,pork,____ ___,gusht khok,,,,
Food,beef,____ ___,gusht gav,,,,
Food,apple,___,sib,,,,
Food,banana,___,moz,,,,
Food,orange,______,naranji,,,,
Food,lemon,____,limo,,,,
Food,corn,___,zarat,,,,
Food,rice,____,baranj,,,,
Food,oil,____,roghen,,,,
Food,seed,___,daneh,,,,
Food,knife,____,chagho,,,,
Food,spoon,____,ghashgh,,,,
Food,fork,_____,changal,,,,
Food,plate,_____,beshghab,,,,
Food,cup,_____,fanjan,,,,
Food,breakfast,______,sobhaneh,,,,
Food,lunch,_____,nanpehar,,,,
Food,dinner,___,sham,,,,
Food,sugar,___,shkar,,,,
Food,salt,___,namak,,,,
Food,bottle,____,betri,,,,
Home,Home,____,khaneh,,,,
Home,table,____,jodol,,,,
Home,chair,_____,sandeli,,,,
Home,bed,____,takht,,,,
Home,dream,______,roya,,,,
Home,window,_____,panjereh,,,,
Home,door,___,darb,,,,
Home,bedroom,____ ____,otagh khab,,,,
Home,kitchen,________,ashpazkhaneh,,,,
Home,bathroom,____,hamam,,,,
Home,pencil,____,madad,,,,
Home,pen,___,ghalam,,,,
Home,photograph,___,aks,,,,
Home,soap,_____,sabon,,,,
Home,book,____,ketab,,,,
Home,page,____,safheh,,,,
Home,key,____,kolid,,,,
Home,paint,___,rang kardan,,,,
Home,letter,____,nameh,,,,
Home,note,_______,tojeh dashteh bashid,,,,
Home,wall,_____,divar,,,,
Home,paper,____,kaghz,,,,
Home,floor,__,tabagheh,,,,
Home,ceiling,___,saqf,,,,
Home,roof,___,saqf,,,,
Home,pool,_____,estekhar,,,,
Home,lock,___,ghfel kardan,,,,
Home,telephone,____,talfan,,,,
Home,garden,___,bagh,,,,
Home,yard,____,hayat,,,,
Home,needle,____,sozan,,,,
Home,bag,____,kiseh,,,,
Home,box,____,jabeh,,,,
Home,gift,____,cpehdieh,,,,
Home,card,____,kart,,,,
Home,ring,____,halgheh,,,,
Home,tool,_____,abzar,,,,
Electronics,Electronics,_________,elektronik,,,,
Electronics,clock,____,saat,,,,
Electronics,lamp,____,lamp,,,,
Electronics,fan,______,fan,,,,
Electronics,cell phone,____ _____,talfan cpehmarah,,,,
Electronics,network,____,shabkeh,,,,
Electronics,computer,________,kampioter,,,,
Electronics,program,______,barnameh,,,,
Electronics,laptop,__ ___,lap tap,,,,
Electronics,screen,____ _____,safheh namayesh,,,,
Electronics,camera,______,dorbin,,,,
Electronics,television,________,talvizion,,,,
Electronics,radio,_____,radiv,,,,
Body,Body,____,badan,,,,
Body,head,__,sar,,,,
Body,neck,____,gardan,,,,
Body,face,____,sort,,,,
Body,beard,___,rish,,,,
Body,hair,__,mo,,,,
Body,eye,___,chesham,,,,
Body,mouth,____,dehan,,,,
Body,lip,__,lab,,,,
Body,nose,____,bini,,,,
Body,tooth,_____,dandan,,,,
Body,ear,___,gush,,,,
Body,tear,___,pareh kardan,,,,
Body,tongue,____,zaban,,,,
Body,back,___,bargasht,,,,
Body,toe,_____ __,engasht pa,,,,
Body,finger,_____,engasht,,,,
Body,foot,__,pa,,,,
Body,hand,___,dast,,,,
Body,leg,__,pa,,,,
Body,arm,____,bazo,,,,
Body,shoulder,____,shaneh,,,,
Body,heart,___,ghalab,,,,
Body,blood,___,khon,,,,
Body,brain,___,moghz,,,,
Body,knee,____,zano,,,,
Body,sweat,___,aragh,,,,
Body,disease,______,bimari,,,,
Body,bone,_______,estekhan,,,,
Body,voice,___,sada,,,,
Body,skin,____,poost,,,,
Nature,Nature,___,tabiat,,,,
Nature,sea,____,daria,,,,
Nature,ocean,_______,eghianos,,,,
Nature,river,_______,rodkhaneh,,,,
Nature,mountain,___,kuh,,,,
Nature,rain,_____,baran,,,,
Nature,snow,___,barf,,,,
Nature,tree,____,darkht,,,,
Nature,sun,______,khorshid,,,,
Nature,moon,___,mah,,,,
Nature,world,____,jacpehan,,,,
Nature,earth,____,zamin,,,,
Nature,forest,____,jangel,,,,
Nature,sky,_____,asman,,,,
Nature,plant,____,giah,,,,
Nature,wind,___,bad,,,,
Nature,soil,___,khak,,,,
Nature,flower,__,gol,,,,
Nature,valley,___,dareh,,,,
Nature,root,____,risheh,,,,
Nature,lake,______,daryacheh,,,,
Nature,star,_____,setareh,,,,
Nature,grass,___,chaman,,,,
Nature,leaf,___,barg,,,,
Nature,air,___,npava,,,,
Nature,sand,____,shen ve maseh,,,,
Nature,beach,____,sahel,,,,
Nature,wave,___,moj,,,,
Nature,fire,___,atash,,,,
Nature,ice,__,yakh,,,,
Nature,island,_____,jazireh,,,,
Nature,hill,___,tapeh,,,,
Nature,heat,___ ____,garma,,,,
Materials,Materials,____,movad,,,,
Materials,glass,____,shisheh i,,,,
Materials,metal,____,felzi,,,,
Materials,plastic,________,polastik,,,,
Materials,wood,___,chub,,,,
Materials,stone,___,sang,,,,
Materials,diamond,_____,olmas,,,,
Materials,clay,___ __,khak res,,,,
Materials,dust,___ _ ____,gard ve ghabar,,,,
Materials,gold,___,tala,,,,
Materials,copper,__,mos,,,,
Materials,silver,____,naghareh i,,,,
Measurements,Measurements,______ ____,andazeh giri cpeha,,,,
Measurements,meter,______,moter,,,,
Measurements,centimeter,_____ ___,santi moter,,,,
Measurements,kilogram,_______,kilogerm,,,,
Measurements,inch,____,inch,,,,
Measurements,foot,__,foot,,,,
Measurements,pound,____,pound,,,,
Measurements,half,___,nasf,,,,
Measurements,circle,_____,dayereh,,,,
Measurements,square,____,morob,,,,
Measurements,temperature,____ _____,dama,,,,
Measurements,date,_____,tarikh,,,,
Measurements,weight,___,vazan,,,,
Measurements,edge,___,labeh,,,,
Measurements,corner,____,gusheh,,,,
Misc Nouns,Misc Nouns,______ ______,esm cpehei motefargheh,,,,
Misc Nouns,map,____,naqsheh,,,,
Misc Nouns,dot,____,naghteh,,,,
Misc Nouns,consonant,____,npamkhan,,,,
Misc Nouns,vowel,______,mosout,,,,
Misc Nouns,light,___,nor,,,,
Misc Nouns,sound,___,sada,,,,
Misc Nouns,yes,___,beleh,,,,
Misc Nouns,no,___,nah,,,,
Misc Nouns,piece,____,ghate,,,,
Misc Nouns,pain,___,dard,,,,
Misc Nouns,injury,_____,jarahat,,,,
Misc Nouns,hole,_____,sorakh,,,,
Misc Nouns,image,_____,tasvir,,,,
Misc Nouns,pattern,____,algo,,,,
Directions,Directions,___,mosirehya,,,,
Directions,top,____,bala,,,,
Directions,bottom,_____,payin,,,,
Directions,side,___,samat,,,,
Directions,front,___,jelo,,,,
Directions,back,___,bargasht,,,,
Directions,outside,____,kharj,,,,
Directions,inside,____,dakhal,,,,
Directions,up,____,bala,,,,
Directions,down,_____,payin,,,,
Directions,left,__,samat chap,,,,
Directions,right,__,darest est,,,,
Directions,straight,______,mosteghim,,,,
Directions,north,____,shmal,,,,
Directions,south,____,jenob,,,,
Directions,east,___,shargh,,,,
Directions,west,___,gharb,,,,
Seasons,Seasons,___,fasl cpeha,,,,
Seasons,summer,_______,tabastan,,,,
Seasons,spring,____,bacpehar,,,,
Seasons,winter,______,zamastan,,,,
Seasons,fall,____,saghoot,,,,
Numbers,Numbers,_____,edad,,,,
Numbers,1,1,yek ,,,,
Numbers,2,2,do ,,,,
Numbers,3,3,se ,,,,
Numbers,4,4,chah_r ,,,,
Numbers,5,5,panj ,,,,
Numbers,6,6,shesh ,,,,
Numbers,7,7,haft ,,,,
Numbers,8,8,hasht ,,,,
Numbers,9,9,noh ,,,,
Numbers,10,10,dah ,,,,
Numbers,11,11,y_zdah ,,,,
Numbers,12,12,dav_zdah ,,,,
Numbers,13,13,sizdah ,,,,
Numbers,14,14,chah_rdah ,,,,
Numbers,15,15,p_nzdah ,,,,
Numbers,16,16,sh_nzdah ,,,,
Numbers,17,17,hefdah ,,,,
Numbers,18,18,hejdah ,,,,
Numbers,19,19,n_zdah ,,,,
Numbers,20,20,bist ,,,,
Numbers,21,21,bist o yek,, o yek,,
Numbers,22,22,bist o do,, o do,,
Numbers,30,30,si ,,,,
Numbers,31,31,si o yek,,,,
Numbers,32,32,si o do,,,,
Numbers,40,40,chehel,,,,
Numbers,41,41,chehel o yek,,,,
Numbers,42,42,chehel o do,,,,
Numbers,50,50,panj_h,,,,
Numbers,51,51,panj_h o yek,,,,
Numbers,52,52,panj_h o do,,,,
Numbers,60,60,shast,,,,
Numbers,61,61,shast o yek,,,,
Numbers,62,62,shast o do,,,,
Numbers,70,70,haft_d,,,,
Numbers,71,71,haft_d o yek,,,,
Numbers,72,72,haft_d o do,,,,
Numbers,80,80,hasht_d,,,,
Numbers,81,81,hasht_d o yek,,,,
Numbers,82,82,hasht_d o do,,,,
Numbers,90,90,navad,,,,
Numbers,91,91,navad o yek,,,,
Numbers,92,92,navad o do,,,,
Numbers,100,100,sad,,,,
Numbers,101,101,sad o yek,,,,
Numbers,102,102,sad o do,,,,
Numbers,110,110,sad o dah,,,,
Numbers,111,111,sad o y_zdah ,,,,
Numbers,1000,1000,hez_r,,,,
Numbers,1001,1001,hez_r o yek,,,,
Numbers,10000,10000,dah hez_r,,,,
Numbers,100000,100000,sad hez_r,,,,
Numbers,million,______,milion,,,,
Numbers,billion,_______,milyard,,,,
Numbers,1st,__ __,yekum,,,,
Numbers,2nd,2,dovvom,,,,
Numbers,3rd,3,sivvom,,,,
Numbers,4th,_____,chahârom,,,,
Numbers,5th,____,panjom,,,,
Months,Months,___,M_h-h_,,,,
Months,January,______,Janv_ri,,,,
Months,February,_____,Febru_ri,,,,
Months,March,_________,M_rs,,,,
Months,April,___ _____,_pril,,,,
Months,May,___ __,M_y,,,,
Months,June,____,J_n,,,,
Months,July,_____,J_l_,,,,
Months,August,___,_gust,,,,
Months,September,_______,Sept_mber,,,,
Months,October,_____,Okt_ber,,,,
Months,November,___ ______,Nov_mber,,,,
Months,December,______,Des_mber,,,,
Days of the Week,Days of the Week,______ ____,R_z-h_-ye hafte,,,,
Days of the Week,Monday,______,Doshanbe,,,,
Days of the Week,Tuesday,__ ____,Seshanbe,,,,
Days of the Week,Wednesday,________,Ch_h_rshanbe,,,,
Days of the Week,Thursday,_______,Panjshanbe,,,,
Days of the Week,Friday,____,Jom'e,,,,
Days of the Week,Saturday,____,Shanbe,,,,
Days of the Week,Sunday,______,Yekshanbe,,,,
Time,Time,____,Zam_n,,,,
Time,year,___,S_l,,,,
Time,month,___,M_h,,,,
Time,week,____,Hafte,,,,
Time,day,___,R_z,,,,
Time,hour,__ ____,S_'at,,,,
Time,minute,_____,Daq_qe,,,,
Time,second,___,S_niye,,,,
Time,morning,___,Sob_,,,,
Time,afternoon,___ __ ___,Asr,,,,
Time,evening,__,Shab,,,,
Time,night,__,Shab,,,,
Verbs,Verbs,_____,Fe'l-h_,,,,
Verbs,work,___,K_r kardan,,,,
Verbs,play,____,B_zi kardan,,,,
Verbs,walk,___ ____,Rah raftan,,,,
Verbs,run,_____,Dav_dan,,,,
Verbs,drive,____,R_nandeg_ kardan,,,,
Verbs,fly,___,Parv_z kardan,,,,
Verbs,swim,___ ____,Shen_ kardan,,,,
Verbs,go,____,Raftan,,,,
Verbs,stop,____,Est_dan,,,,
Verbs,follow,_____ ____,Donb_l kardan,,,,
Verbs,think,___ ____,Fekr kardan,,,,
Verbs,speak,___ ____,Sohbat kardan,,,,
Verbs,eat,_____,Khordan,,,,
Verbs,drink,______,N_sh_dan,,,,
Verbs,kill,____,Kushtan,,,,
Verbs,die,____,Mordan,,,,
Verbs,smile,_____,Labkhand zadan,,,,
Verbs,laugh,______,Khandidan,,,,
Verbs,cry,______,Gerye kardan,,,,
Verbs,buy,____ ____,Khar_dan,,,,
Verbs,pay,_______,Pard_kht kardan,,,,
Verbs,sell,____,For_kh tan,,,,
Verbs,shoot,____ ____,Tir and_khtan,,,,
Verbs,learn,___ _____,_m_zesh d_dan,,,,
Verbs,jump,___,Par_dan,,,,
Verbs,smell,__,B_ kardan,,,,
Verbs,hear,_____,Shen_dan,,,,
Verbs,listen,___ ____,G_sh d_dan,,,,
Verbs,taste,___,Cheshidan,,,,
Verbs,touch,___ ____,Lams kardan,,,,
Verbs,see,____,D_dan,,,,
Verbs,watch,____,Neg_h kardan,,,,
Verbs,kiss,____,b_s kardan,,,,
Verbs,burn,_____,s_kh tan,,,,
Verbs,melt,___ ____,_b shodan,,,,
Verbs,dig,___ ____,hafr kardan,,,,
Verbs,explode,_____ ___,montajer shodan,,,,
Verbs,sit,_____,neshastan,,,,
Verbs,stand,_______,ist_dan,,,,
Verbs,love,___,doost d_shtan,,,,
Verbs,pass,____,gozar kardan,,,,
Verbs,by,__ ___,ken_r,,,,
Verbs,cut,___,bor_dan,,,,
Verbs,fight,______,jangidan,,,,
Verbs,lie,____ ____,dorugh goftan,,,,
Verbs,dance,___,raqsidan,,,,
Verbs,sleep,_______,kh_bidan,,,,
Verbs,wake,______,bid_r shodan,,,,
Verbs,sing,______,_v_z kh_ndan,,,,
Verbs,count,_____,shemordan,,,,
Verbs,marry,______ ____,ezdev_j kardan,,,,
Verbs,pray,___ ____,do'_ kardan,,,,
Verbs,win,_____ ___,bordan,,,,
Verbs,lose,__ ___ ____,b_khtan,,,,
Verbs,mix,_____ ____,mikhlut kardan,,,,
Verbs,bend,__ ____,kham kardan,,,,
Verbs,wash,_____,shostan,,,,
Verbs,cook,___,pokhtan,,,,
Verbs,open,___,b_z kardan,,,,
Verbs,close,_____,baste kardan,,,,
Verbs,write,_____,neveshtan,,,,
Verbs,call,________,sed_ zadan,,,,
Verbs,turn,____,bargashtan,,,,
Verbs,build,____,s_kh tan,,,,
Verbs,teach,_____ ____,dars d_dan,,,,
Verbs,grow,___ ____,roshd kardan,,,,
Verbs,draw,_____ ____,rasm keshidan,,,,
Verbs,feed,_____ ____,ghaz_ d_dan,,,,
Verbs,catch,_____,gereftan,,,,
Verbs,throw,_____,part_b kardan,,,,
Verbs,clean,____,tamiz kardan,,,,
Verbs,find,____ ____,peyd_ kardan,,,,
Verbs,fall,____,aft_dan,,,,
Verbs,push,____,hol d_dan,,,,
Verbs,pull,_____,keshidan,,,,
Verbs,carry,___ ____,haml kardan,,,,
Verbs,break,_____,shekastan,,,,
Verbs,wear,______,pooshidan,,,,
Verbs,hang,____ ____,___z_n kardan,,,,
Verbs,shake,______,larz_ndan,,,,
Verbs,sign,_____,emz_ kardan,,,,
Verbs,beat,___,zadan,,,,
Verbs,lift,____ ____,bal_ bordan,,,,
Adjectives,Adjectives,___,saft,,,,
Adjectives,long,______,boland,,,,
Adjectives,short,_____,k_t_h,,,,
Adjectives,tall,____,ghad boland,,,,
Adjectives,wide,______,ariz,,,,
Adjectives,big,____,bozorg,,,,
Adjectives,small,____,kuchak,,,,
Adjectives,slow,_____,kond,,,,
Adjectives,fast,____,tond,,,,
Adjectives,hot,___,garm,,,,
Adjectives,cold,___,sard,,,,
Adjectives,warm,___,garm,,,,
Adjectives,cool,___ ____,khonak,,,,
Adjectives,new,____,jadid,,,,
Adjectives,old,_____,ghadimi,,,,
Adjectives,young,____,jav_n,,,,
Adjectives,good,___,khob,,,,
Adjectives,bad,__,bad,,,,
Adjectives,wet,___,martub,,,,
Adjectives,dry,___,khoshk,,,,
Adjectives,sick,_____,bim_r,,,,
Adjectives,healthy,____,s_lem,,,,
Adjectives,loud,____,boland sed_,,,,
Adjectives,quiet,____,_r_m,,,,
Adjectives,happy,______,sh_d,,,,
Adjectives,sad,_____,ghamg_n,,,,
Adjectives,beautiful,____,zib_,,,,
Adjectives,ugly,___,zesht,,,,
Adjectives,deaf,______,kar,,,,
Adjectives,blind,___,n_bin_,,,,
Adjectives,nice,___,mehrab_n,,,,
Adjectives,mean,_______,badi,,,,
Adjectives,rich,_______,poul d_r,,,,
Adjectives,poor,____,bi pool,,,,
Adjectives,thick,____,koloft,,,,
Adjectives,thin,____,n_zik,,,,
Adjectives,expensive,____,ger_n,,,,
Adjectives,cheap,_____,arz_n,,,,
Adjectives,flat,____,hamv_r,,,,
Adjectives,curved,_____,khamideh,,,,
Adjectives,male,___,mard,,,,
Adjectives,female,__,zan,,,,
Adjectives,tight,___,sakh,,,,
Adjectives,loose,___,shol,,,,
Adjectives,high,____,b_l_,,,,
Adjectives,low,__,p__n,,,,
Adjectives,soft,___,narm,,,,
Adjectives,hard,___,sakh,,,,
Adjectives,deep,____,omigh,,,,
Adjectives,shallow,__ ___,kam omigh,,,,
Adjectives,clean,____,tamiz,,,,
Adjectives,dirty,____,kasif,,,,
Adjectives,strong,___,ghavi,,,,
Adjectives,weak,____,za'if,,,,
Adjectives,dead,____,mordeh,,,,
Adjectives,alive,____,zendeh,,,,
Adjectives,heavy,_____,sangin,,,,
Adjectives,light,___,sabok,,,,
Adjectives,dark,_____,t_r_k,,,,
Adjectives,light,___,roshan,,,,
Adjectives,nuclear,____ __,hastiyei,,,,
Adjectives,famous,_____,ma'roof,,,,
Pronouns,Pronouns,____,zemir,,,,
Pronouns,I,__,man,,,,
Pronouns,you,___,to,,,,
Pronouns,he,__,ou,,,,
Pronouns,she,__,ou,,,,
Pronouns,it,__,_n,,,,
Pronouns,we,__,m_,,,,
Pronouns,you,___,shom_,,,,
Pronouns,they,____,_nh_,,,,